BUS_LIC_NO,REMARKS,InspectionType,INSPECTOR,SCHEDULED_DATE,SCHEDULED_TIME,COMPLETED_DATE,COMPLETED_TIME,DURATION,RESULT,NOTES,LOCKID,RECORDID,DURATION_EST,CREATED_DATE,CREATED_TIME,CREATED_BY,SEQID,CAPOVERRIDE,update_originator_id,update_timestamp,create_timestamp,exID,PathURL,PathURLDateAdded,insert_originator_id
3377,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081102,,,,,,,,000000000026CAA2,,,,,
3378,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081103,,,,,,,,000000000026CAA3,,,,,
3379,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081104,,,,,,,,000000000026CAA4,,,,,
3380,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081105,,,,,,,,000000000026CAA5,,,,,
3381,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081106,,,,,,,,000000000026CAA6,,,,,
3382,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081107,,,,,,,,000000000026CAA7,,,,,
3384,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081109,,,,,,,,000000000026CAA9,,,,,
3385,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081110,,,,,,,,000000000026CAAB,,,,,
3386,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081111,,,,,,,,000000000026CAAC,,,,,
3388,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081112,,,,,,,,000000000026CAAD,,,,,
3389,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081113,,,,,,,,000000000026CAAE,,,,,
3387,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081115,,,,,,,,000000000026CAB0,,,,,
3393,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081118,,,,,,,,000000000026CAB3,,,,,
3394,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081119,,,,,,,,000000000026CAB4,,,,,
2904,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608112,,,,,,,,000000000026CAB5,,,,,
3395,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081120,,,,,,,,000000000026CAB6,,,,,
3396,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081121,,,,,,,,000000000026CAB7,,,,,
3397,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081122,,,,,,,,000000000026CAB8,,,,,
3398,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081123,,,,,,,,000000000026CAB9,,,,,
3399,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081124,,,,,,,,000000000026CABA,,,,,
3400,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081125,,,,,,,,000000000026CABB,,,,,
3401,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081126,,,,,,,,000000000026CABC,,,,,
3402,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081128,,,,,,,,000000000026CABE,,,,,
1159,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608113,,,,,,,,000000000026CAC0,,,,,
3405,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081130,,,,,,,,000000000026CAC1,,,,,
3406,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081131,,,,,,,,000000000026CAC2,,,,,
3407,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081132,,,,,,,,000000000026CAC3,,,,,
3408,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081133,,,,,,,,000000000026CAC4,,,,,
3409,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081134,,,,,,,,000000000026CAC5,,,,,
3410,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081135,,,,,,,,000000000026CAC6,,,,,
3411,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081136,,,,,,,,000000000026CAC7,,,,,
3412,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081137,,,,,,,,000000000026CAC8,,,,,
3413,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081138,,,,,,,,000000000026CAC9,,,,,
3414,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081139,,,,,,,,000000000026CACA,,,,,
3415,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081140,,,,,,,,000000000026CACC,,,,,
3416,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081141,,,,,,,,000000000026CACD,,,,,
3417,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081142,,,,,,,,000000000026CACE,,,,,
3418,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081143,,,,,,,,000000000026CACF,,,,,
3419,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081144,,,,,,,,000000000026CAD0,,,,,
3420,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081145,,,,,,,,000000000026CAD1,,,,,
3421,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081146,,,,,,,,000000000026CAD2,,,,,
3422,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081147,,,,,,,,000000000026CAD3,,,,,
3423,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081148,,,,,,,,000000000026CAD4,,,,,
3424,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081149,,,,,,,,000000000026CAD5,,,,,
2156,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608115,,,,,,,,000000000026CAD6,,,,,
3425,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081150,,,,,,,,000000000026CAD7,,,,,
3427,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081152,,,,,,,,000000000026CAD9,,,,,
3428,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081153,,,,,,,,000000000026CADA,,,,,
3429,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081154,,,,,,,,000000000026CADB,,,,,
2402,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081155,,,,,,,,000000000026CADC,,,,,
3430,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081156,,,,,,,,000000000026CADD,,,,,
3431,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081157,,,,,,,,000000000026CADE,,,,,
3432,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081158,,,,,,,,000000000026CADF,,,,,
3433,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081159,,,,,,,,000000000026CAE0,,,,,
2185,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608116,,,,,,,,000000000026CAE1,,,,,
3434,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081160,,,,,,,,000000000026CAE2,,,,,
3435,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081161,,,,,,,,000000000026CAE3,,,,,
3436,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081162,,,,,,,,000000000026CAE4,,,,,
3437,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081163,,,,,,,,000000000026CAE5,,,,,
3438,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081164,,,,,,,,000000000026CAE6,,,,,
3440,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081165,,,,,,,,000000000026CAE7,,,,,
3439,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081166,,,,,,,,000000000026CAE8,,,,,
3441,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081167,,,,,,,,000000000026CAE9,,,,,
3442,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081168,,,,,,,,000000000026CAEA,,,,,
3443,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081169,,,,,,,,000000000026CAEB,,,,,
547,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608117,,,,,,,,000000000026CAEC,,,,,
3444,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081170,,,,,,,,000000000026CAED,,,,,
3445,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081171,,,,,,,,000000000026CAEE,,,,,
3446,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081172,,,,,,,,000000000026CAEF,,,,,
3448,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081174,,,,,,,,000000000026CAF1,,,,,
3449,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081175,,,,,,,,000000000026CAF2,,,,,
3450,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081176,,,,,,,,000000000026CAF3,,,,,
3451,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081177,,,,,,,,000000000026CAF4,,,,,
3452,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081178,,,,,,,,000000000026CAF5,,,,,
3453,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081179,,,,,,,,000000000026CAF6,,,,,
548,,FIRE LIFESAFETY,,,,,,,,,,YOLO:110201143608118,,,,,,,,000000000026CAF7,,,,,
3454,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081180,,,,,,,,000000000026CAF8,,,,,
3455,,FIRE LIFESAFETY,,,,,,,,,,YOLO:1102011436081181,,,,,,,,000000000026CAF9,,,,,
