"BUS_LIC_NO","REMARKS","InspectionType","INSPECTOR","SCHEDULED_DATE","SCHEDULED_TIME","COMPLETED_DATE","COMPLETED_TIME","DURATION","RESULT","NOTES","LOCKID","RECORDID","DURATION_EST","CREATED_DATE","CREATED_TIME","CREATED_BY","SEQID","CAPOVERRIDE","update_originator_id","update_timestamp","create_timestamp","exID","PathURL","PathURLDateAdded","insert_originator_id"
"3390","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081114","","","","","","","","000000000026CAAF","","","","",""
"3391","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081116","","","","","","","","000000000026CAB1","","","","",""
"3392","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081117","","","","","","","","000000000026CAB2","","","","",""
"3403","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081127","","","","","","","","000000000026CABD","","","","",""
"3404","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081129","","","","","","","","000000000026CABF","","","","",""
"2875","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608114","","","","","","","","000000000026CACB","","","","",""
"3426","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081151","","","","","","","","000000000026CAD8","","","","",""
"3447","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081173","","","","","","","","000000000026CAF0","","","","",""
"3461","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081187","","","","","","","","000000000026CAFF","","","","",""
"3472","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081198","","","","","","","","000000000026CB0C","","","","",""
"3481","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081207","","","","","","","","000000000026CB17","","","","",""
"3499","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081226","","","","","","","","000000000026CB2C","","","","",""
"3505","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081229","","","","","","","","000000000026CB2F","","","","",""
"3508","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081233","","","","","","","","000000000026CB34","","","","",""
"3516","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081249","","","","","","","","000000000026CB45","","","","",""
"2236","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608126","","","","","","","","000000000026CB51","","","","",""
"3535","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081260","","","","","","","","000000000026CB52","","","","",""
"3542","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081268","","","","","","","","000000000026CB5A","","","","",""
"3561","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081287","","","","","","","","000000000026CB6F","","","","",""
"3564","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081290","","","","","","","","000000000026CB73","","","","",""
"3570","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081295","","","","","","","","000000000026CB78","","","","",""
"3600","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081326","","","","","","","","000000000026CB9B","","","","",""
"3621","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081347","","","","","","","","000000000026CBB2","","","","",""
"3622","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081348","","","","","","","","000000000026CBB3","","","","",""
"3626","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081352","","","","","","","","000000000026CBB8","","","","",""
"3633","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081357","","","","","","","","000000000026CBBD","","","","",""
"3643","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081367","","","","","","","","000000000026CBC8","","","","",""
"3645","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081370","","","","","","","","000000000026CBCC","","","","",""
"3656","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081380","","","","","","","","000000000026CBD7","","","","",""
"3661","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081384","","","","","","","","000000000026CBDB","","","","",""
"3654","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081385","","","","","","","","000000000026CBDC","","","","",""
"3666","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081390","","","","","","","","000000000026CBE2","","","","",""
"3670","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081395","","","","","","","","000000000026CBE7","","","","",""
"3684","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081408","","","","","","","","000000000026CBF6","","","","",""
"1458","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608142","","","","","","","","000000000026CC04","","","","",""
"3706","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081430","","","","","","","","000000000026CC10","","","","",""
"3714","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081443","","","","","","","","000000000026CC1E","","","","",""
"3726","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081450","","","","","","","","000000000026CC26","","","","",""
"3734","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081459","","","","","","","","000000000026CC2F","","","","",""
"3739","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081465","","","","","","","","000000000026CC36","","","","",""
"3746","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081472","","","","","","","","000000000026CC3E","","","","",""
"3757","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081482","","","","","","","","000000000026CC49","","","","",""
"3760","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081485","","","","","","","","000000000026CC4C","","","","",""
"3761","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081486","","","","","","","","000000000026CC4D","","","","",""
"3782","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081507","","","","","","","","000000000026CC65","","","","",""
"1241","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608151","","","","","","","","000000000026CC68","","","","",""
"3789","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081513","","","","","","","","000000000026CC6C","","","","",""
"3788","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081514","","","","","","","","000000000026CC6D","","","","",""
"3796","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081520","","","","","","","","000000000026CC74","","","","",""
"3832","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081554","","","","","","","","000000000026CC99","","","","",""
"3867","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081591","","","","","","","","000000000026CCC2","","","","",""
"3881","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081605","","","","","","","","000000000026CCD2","","","","",""
"3885","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081609","","","","","","","","000000000026CCD6","","","","",""
"3887","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081611","","","","","","","","000000000026CCD9","","","","",""
"3893","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081616","","","","","","","","000000000026CCDE","","","","",""
"3933","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081657","","","","","","","","000000000026CD0C","","","","",""
"3942","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081665","","","","","","","","000000000026CD15","","","","",""
"3943","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081667","","","","","","","","000000000026CD17","","","","",""
"3988","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081712","","","","","","","","000000000026CD4A","","","","",""
"4025","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081748","","","","","","","","000000000026CD71","","","","",""
"4034","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081757","","","","","","","","000000000026CD7B","","","","",""
"1053","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608176","","","","","","","","000000000026CD7E","","","","",""
"4037","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081760","","","","","","","","000000000026CD7F","","","","",""
"4041","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081763","","","","","","","","000000000026CD82","","","","",""
"4040","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081766","","","","","","","","000000000026CD85","","","","",""
"4048","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081770","","","","","","","","000000000026CD8A","","","","",""
"4079","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081801","","","","","","","","000000000026CDAD","","","","",""
"4084","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081804","","","","","","","","000000000026CDB0","","","","",""
"4099","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081819","","","","","","","","000000000026CDC0","","","","",""
"559","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608185","","","","","","","","000000000026CDE2","","","","",""
"4136","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081852","","","","","","","","000000000026CDE5","","","","",""
"4143","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081859","","","","","","","","000000000026CDEC","","","","",""
"4104","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081870","","","","","","","","000000000026CDF9","","","","",""
"4161","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081877","","","","","","","","000000000026CE01","","","","",""
"4163","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081879","","","","","","","","000000000026CE03","","","","",""
"1102","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608191","","","","","","","","000000000026CE26","","","","",""
"4197","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081913","","","","","","","","000000000026CE2A","","","","",""
"1788","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081920","","","","","","","","000000000026CE32","","","","",""
"1875","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608193","","","","","","","","000000000026CE3C","","","","",""
"1553","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081939","","","","","","","","000000000026CE46","","","","",""
"1179","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081948","","","","","","","","000000000026CE50","","","","",""
